,english_name,french_name,spanish_name,Country,ISO639-3_codes,endangerment_degree,alternate_names,name_in_the_language,number_of_speakers,Latitude,Longitude,location_description,GDP_per_capita_US_dollars,expenditure_on_research_and_development_GDP_percentage,co2_emissions_percapita_metric_tons,tourist_arrivals_thousands,threatened_species_total_number,expenditure_on_secondary_education,population_mid_year_estimates_millions,international_migrants_number,land_area_thousand_hectars,internet_usage_percentage_of_people,expenditure_on_education_percentage_GDP,expenditure_on_health_percentage_of_GDP,continent,family,language_vitality_level,country_vitality_level,Continent
13,Belarusian,biélorusse,bielorruso,Ukraine,bel,Vulnerable,NA,NA,4.00E+06,53.956,27.5756,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries,2970,0.8,5.8,21203,61,844,45.79,4818767,57932,23.3,7.3,6.8,Eurasia,Indo-European,5,3.529411765,Europe
14,Lombard,lombard,lombardo,Italy,lmo,Definitely endangered,NA,NA,3500000,45.7215,9.3273,"the region of Lombardy (except the southernmost border areas) and the Novara province in Piedmont, Italy; Ticino Canton and the Mesolcina District and two districts south of St. Moritz in Graubünden (Grigioni), Switzerland",35972,1.2,6.6,43626,174,2849,59.33,5787893,29414,53.7,4.3,8.9,Eurasia,Indo-European,4,4,Europe
15,Lombard,lombard,lombardo,Switzerland,lmo,Definitely endangered,NA,NA,3500000,45.7215,9.3273,"the region of Lombardy (except the southernmost border areas) and the Novara province in Piedmont, Italy; Ticino Canton and the Mesolcina District and two districts south of St. Moritz in Graubünden (Grigioni), Switzerland",77277,2.7,5.5,8628,45,316,7.81,2075182,3952,83.9,4.9,10.3,Eurasia,Indo-European,4,4.125,Europe
16,Romani,romani,romaní,Albania,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",4046,0.2,1.3,2191,100,141,2.95,52784,2740,45,3.3,4.7,NA,Indo-European,4,4,Europe
17,Romani,romani,romaní,Germany,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",42020,2.7,9.5,26875,79,2747,80.83,9812263,34857,82,4.9,11.1,NA,Indo-European,4,4.142857143,Europe
18,Romani,romani,romaní,Austria,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",46599,2.7,8.2,22004,82,383,8.41,1274901,8257,75.2,5.7,10.2,NA,Indo-European,4,4.4,Europe
19,Romani,romani,romaní,Belarus,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",6075,0.7,6.3,5674,16,294,9.42,1090378,20290,31.8,5.2,5.7,NA,Indo-European,4,4.5,Europe
20,Romani,romani,romaní,Bosnia and Herzegovina,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",4635,0,5.5,365,67,147,3.71,38945,5120,42.8,NA,9,NA,Indo-European,4,3.5,Europe
21,Romani,romani,romaní,Bulgaria,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",6783,0.6,6,6047,66,307,7.43,76287,10856,46.2,3.9,7.1,NA,Indo-European,4,3.428571429,Europe
22,Romani,romani,romaní,Croatia,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",13818,0.7,4.2,9111,101,181,4.33,573248,5596,56.6,4.2,8.1,NA,Indo-European,4,3.25,Europe
23,Romani,romani,romaní,Estonia,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",14784,1.6,13.9,2511,11,53,1.33,217890,4239,74.1,5.5,6.3,NA,Indo-European,4,4,Europe
24,Romani,romani,romaní,Finland,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",46439,3.7,11.6,3670,18,234,5.37,228481,30390,86.9,6.5,9.1,NA,Indo-European,4,3.375,Europe
25,Romani,romani,romaní,France,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",40685,2.2,5.2,76647,168,2624,62.88,7309986,54756,77.3,5.5,11.2,NA,Indo-European,4,3.692307692,Europe
26,Romani,romani,romaní,Greece,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",27264,0.6,7.5,15007,156,364,10.89,1321149,12890,44.4,4,9.5,NA,Indo-European,4,3,Europe
27,Romani,romani,romaní,Hungary,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",13288,1.1,4.7,9510,47,486,9.93,436616,9053,65,4.8,7.5,NA,Indo-European,4,3.833333333,Europe
28,Romani,romani,romaní,Italy,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",35972,1.2,6.6,43626,174,2849,59.33,5787893,29414,53.7,4.3,8.9,NA,Indo-European,4,4,Europe
29,Romani,romani,romaní,Latvia,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",11269,0.6,3.9,1373,18,83,2.12,313786,6224,68.4,5.1,6.1,NA,Indo-European,4,3.5,Europe
30,Romani,romani,romaní,Lithuania,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",11889,0.8,4,1507,17,105,3.12,160772,6268,62.1,5.3,6.8,NA,Indo-European,4,4,Europe
31,Romani,romani,romaní,The former Yugoslav Republic of Macedonia,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indo-European,4,3.857142857,Unspecified
32,Romani,romani,romaní,Netherlands,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",50744,1.7,10.3,10883,24,713,16.68,1832510,3373,90.7,5.5,10.2,NA,Indo-European,4,4.666666667,Europe
33,Romani,romani,romaní,Poland,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",12519,0.7,8,12470,37,1510,38.33,642417,30628,62.3,5.1,6.4,NA,Indo-European,4,3.888888889,Europe
34,Romani,romani,romaní,Romania,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",8120,0.5,3.7,7498,64,953,20.47,177211,23005,39.9,3.5,5.8,NA,Indo-European,4,3.636363636,Europe
35,Romani,romani,romaní,United Kingdom of Great Britain and Northern Ireland,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indo-European,4,3.166666667,Unspecified
36,Romani,romani,romaní,Russian Federation,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",10732,1.1,10.7,22281,126,3210,143.48,11194710,1637687,43,4.1,5,NA,Indo-European,4,3.135135135,Europe
37,Romani,romani,romaní,Slovakia,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",16711,0.6,6.4,1327,34,269,5.4,146319,4809,75.7,4.1,7.7,NA,Indo-European,4,4.4,Europe
38,Romani,romani,romaní,Slovenia,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",23570,2.1,7.5,2049,95,83,2.04,253786,2015,70,5.5,8.6,NA,Indo-European,4,3.666666667,Europe
39,Romani,romani,romaní,Switzerland,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",77277,2.7,5.5,8628,45,316,7.81,2075182,3952,83.9,4.9,10.3,NA,Indo-European,4,4.125,Europe
40,Romani,romani,romaní,Czech Republic,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indo-European,4,4.5,Europe
41,Romani,romani,romaní,Turkey,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",10742,0.8,3.7,31364,150,3639,72.33,1373749,76963,39.8,2.8,5,NA,Indo-European,4,3.444444444,Asia
42,Romani,romani,romaní,Ukraine,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",2970,0.8,5.8,21203,61,844,45.79,4818767,57932,23.3,7.3,6.8,NA,Indo-European,4,3.529411765,Europe
43,Romani,romani,romaní,Serbia,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",5735,0.7,6.3,683,46,287,8.99,826275,8746,40.9,4.3,9.5,NA,Indo-European,4,4,Europe
44,Romani,romani,romaní,Montenegro,"rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",NA,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",6630,1.1,4.2,1088,72,32,0.62,78512,1345,37.5,NA,8.4,NA,Indo-European,4,4,Europe
45,Yiddish (Israel),yiddish (Israël),yiddish (Israel),Israel,ydd,Definitely endangered,Judeo-German,NA,3.00E+06,32.0833,34.8333,"most speakers now live outside Europe, mainly in North America and Israel; cf. Yiddish (Europe)",31852,3.9,9,2803,131,341,7.35,1956190,2164,67.5,5.5,7,NA,NA,4,3.307692308,Asia
46,Gondi,gondi,gondí,India,gon,Vulnerable,"Gondi; Gaudi; Gondiva; Gondwadi; Goondile; Goudwal; Ghond; Godi; Gondu; Goudi
",NA,2713790,19.5804,80.4418,"Madhya Pradesh (Betul, Chhindwara, Seoni, Mandla, Balaghat), Maharashtra (Amravati, Wardha, Nagpur, Bhandara, Yavatmal); also in Andhra Pradesh and Orissa",1353,0.8,1.3,5776,758,48266,1234.28,5574018,297319,7.5,3.4,3.3,NA,Dravidian,5,3.869346734,Asia
47,Limburgian-Ripuarian,francique ripuaire -limbourgeois,limburgués-ripuarino,Germany,"ksh, lim",Vulnerable,Colognian (dialect; in German: Kölsch),NA,2600000,50.7781,6.0864,Limburg provinces in Belgium and the Netherlands and Rhineland in Germany,42020,2.7,9.5,26875,79,2747,80.83,9812263,34857,82,4.9,11.1,NA,NA,5,4.142857143,Europe
48,Limburgian-Ripuarian,francique ripuaire -limbourgeois,limburgués-ripuarino,Belgium,"ksh, lim",Vulnerable,Colognian (dialect; in German: Kölsch),NA,2600000,50.7781,6.0864,Limburg provinces in Belgium and the Netherlands and Rhineland in Germany,43968,2.1,9.5,7186,27,864,10.94,1503806,3028,75,6.4,10.2,NA,NA,5,4,Europe
49,Limburgian-Ripuarian,francique ripuaire -limbourgeois,limburgués-ripuarino,Netherlands,"ksh, lim",Vulnerable,Colognian (dialect; in German: Kölsch),NA,2600000,50.7781,6.0864,Limburg provinces in Belgium and the Netherlands and Rhineland in Germany,50744,1.7,10.3,10883,24,713,16.68,1832510,3373,90.7,5.5,10.2,NA,NA,5,4.666666667,Europe
50,Quechua of Southern Bolivia,quechua bolivien du sud,quechua boliviano meridional,Bolivia (Plurinational State of),quh,Vulnerable,NA,NA,2300000,-18.0675,-65.7641,"Departments of Cochabamba, Chuquisaca, Potosí and Oruro in Bolivia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.128205128,Unspecified
51,Kumaoni,kumaoni,cumauní,India,kfy,Vulnerable,Kumauni; Kamaoni; Kumau; Kumawani; Kumgoni,NA,2003783,29.4778,79.8486,"Uttarakhand, also in Uttar Pradesh, Madhya Pradesh, Assam and Bihar; also in Nepal",1353,0.8,1.3,5776,758,48266,1234.28,5574018,297319,7.5,3.4,3.3,Eurasia,Indo-European,5,3.869346734,Asia
52,Kumaoni,kumaoni,cumauní,Nepal,kfy,Vulnerable,Kumauni; Kamaoni; Kumau; Kumawani; Kumgoni,NA,2003783,29.4778,79.8486,"Uttarakhand, also in Uttar Pradesh, Madhya Pradesh, Assam and Bihar; also in Nepal",603,0.3,0.2,603,93,1090,27.01,581889,14335,7.9,3.8,5,Eurasia,Indo-European,5,3.85915493,Asia
53,Aymara,aymara,aymara,Bolivia (Plurinational State of),"ayc, ayr",Vulnerable,"Aimara, Jaqi Aru, Southern Aymara.",NA,2.00E+06,-16.5835,-68.302,"Departamentos  de Puno,  Moquegua y Tacna, en el Perú. Area del lago Titicaca, donde se  incluye también el Altiplano boliviano.
In Bolivia: departments of La Paz, Oruro, Potosí and Cochabamba.
In Chile: Province of Tarapacá (interior of Arica, Iquique).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.128205128,Unspecified
54,Aymara,aymara,aymara,Chile,"ayc, ayr",Vulnerable,"Aimara, Jaqi Aru, Southern Aymara.",NA,2.00E+06,-16.5835,-68.302,"Departamentos  de Puno,  Moquegua y Tacna, en el Perú. Area del lago Titicaca, donde se  incluye también el Altiplano boliviano.
In Bolivia: departments of La Paz, Oruro, Potosí and Cochabamba.
In Chile: Province of Tarapacá (interior of Arica, Iquique).",12808,0.3,4,2801,145,992,17.06,375388,74353,45,4.2,6.8,NA,NA,5,2.714285714,South America
55,Aymara,aymara,aymara,Peru,"ayc, ayr",Vulnerable,"Aimara, Jaqi Aru, Southern Aymara.",NA,2.00E+06,-16.5835,-68.302,"Departamentos  de Puno,  Moquegua y Tacna, en el Perú. Area del lago Titicaca, donde se  incluye también el Altiplano boliviano.
In Bolivia: departments of La Paz, Oruro, Potosí and Cochabamba.
In Chile: Province of Tarapacá (interior of Arica, Iquique).",5082,0.2,1.4,2299,551,896,29.03,104706,128000,34.8,2.9,4.7,NA,NA,5,3.209677419,South America
56,Emilian-Romagnol,émilien-romagnol,emiliano,Italy,eml,Definitely endangered,NA,NA,2.00E+06,44.127,12.0739,"the region of Emilia-Romagna, parts of the provinces of Pavia, Voghera, and Mantua in southern Lombardy, the Lunigiana district in northwestern Tuscany, the Pesaro-Urbino province in the region of Marche and the Republic of San Marino",35972,1.2,6.6,43626,174,2849,59.33,5787893,29414,53.7,4.3,8.9,NA,NA,4,4,Europe
57,Emilian-Romagnol,émilien-romagnol,emiliano,San Marino,eml,Definitely endangered,NA,NA,2.00E+06,44.127,12.0739,"the region of Emilia-Romagna, parts of the provinces of Pavia, Voghera, and Mantua in southern Lombardy, the Lunigiana district in northwestern Tuscany, the Pesaro-Urbino province in the region of Marche and the Republic of San Marino",68505,NA,NA,120,0,1,0.03,4880,6,50.3,2.7,6.6,NA,NA,4,4,Europe
58,Piedmontese,piémontais,piamontés,Italy,pms,Definitely endangered,NA,NA,2.00E+06,45.2013,7.8662,"Piedmont Region except the Novara Province, the western Alpine valleys and southern border areas, as well as minor adjacent areas",35972,1.2,6.6,43626,174,2849,59.33,5787893,29414,53.7,4.3,8.9,NA,NA,4,4,Europe
59,Venetan,vénitien,veneciano,Croatia,vec,Vulnerable,NA,NA,2.00E+06,45.4601,12.1948,"Veneto region, parts of Friuli-Venezia Giulia, Italy; Istria in both Slovenia and Croatia",13818,0.7,4.2,9111,101,181,4.33,573248,5596,56.6,4.2,8.1,NA,NA,5,3.25,Europe
60,Venetan,vénitien,veneciano,Italy,vec,Vulnerable,NA,NA,2.00E+06,45.4601,12.1948,"Veneto region, parts of Friuli-Venezia Giulia, Italy; Istria in both Slovenia and Croatia",35972,1.2,6.6,43626,174,2849,59.33,5787893,29414,53.7,4.3,8.9,NA,NA,5,4,Europe
61,Venetan,vénitien,veneciano,Slovenia,vec,Vulnerable,NA,NA,2.00E+06,45.4601,12.1948,"Veneto region, parts of Friuli-Venezia Giulia, Italy; Istria in both Slovenia and Croatia",23570,2.1,7.5,2049,95,83,2.04,253786,2015,70,5.5,8.6,NA,NA,5,3.666666667,Europe
62,Zazaki,zazaki,zaza,Turkey,zza,Vulnerable,Zaza; Dimli; Kirmanjki,NA,2.00E+06,38.8824,40.4846,"Tunceli, Erzincan, Elazığ and Bingöl provinces, Hınıs district of Erzurum Province, the eastern parts of Sivas Province, Varto district of Muş Province, Sarız district of Kayseri Province, the northern and western parts of Diyarbakır Province, Siverek district of Şanlıurfa Province as well as small areas in adjacent provinces. Many immigrants in Europe.",10742,0.8,3.7,31364,150,3639,72.33,1373749,76963,39.8,2.8,5,NA,NA,5,3.444444444,Asia
63,Kurux (India),kurux (Inde),kuruj (India),India,kru,Vulnerable,Kurukh; Oraon,NA,1751489,22.1467,85.2758,Jharkhand and Bihar,1353,0.8,1.3,5776,758,48266,1234.28,5574018,297319,7.5,3.4,3.3,NA,NA,5,3.869346734,Asia
64,Tamajeq,tamajeq,tamacheq tahoua,Niger,thz,Vulnerable,NA,NA,1750000,17.2352,8.0859,NA,463,NA,0.1,74,26,39,16.46,126482,126670,0.8,2.7,6.9,NA,NA,5,4,Africa
65,Tulu,tulu,tulú,India,tcy,Vulnerable,"Tuluva Bhasa; Tullu; Thulu; Tal; Tilu; Thalu
",NA,1722768,12.0178,75.7067,"Karnataka, Andhra Pradesh, Kerala",1353,0.8,1.3,5776,758,48266,1234.28,5574018,297319,7.5,3.4,3.3,Eurasia,Dravidian,5,3.869346734,Asia
66,Kangdi,Kangdi,kangdi,India,xnr,Definitely endangered,Dogaryali; Dogri Pahari;  Tokkaru; Dogri-Kangra; Bhatbali; Bhatbali; East Dogri; Kangri; Kangra,NA,1700000,32.4356,76.1242,Himachal Pradesh,1353,0.8,1.3,5776,758,48266,1234.28,5574018,297319,7.5,3.4,3.3,NA,NA,4,3.869346734,Asia
67,Scots,scots,escocés,United Kingdom of Great Britain and Northern Ireland,sco,Vulnerable,Lallans; Northumbrian (local name in England),NA,1500000,56.2189,-3.7683,Lowland Scotland and adjacent parts of England; émigré communities in Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurasia,Indo-European,5,3.166666667,Unspecified
68,Torlak,torlak,torlak,Albania,"bos, hrv, srp",Vulnerable,"Shop; dialects: Goran, Janjev, Krashovan",NA,1500000,42.9644,22.1374,"the core area: south-eastern Serbia, the westernmost parts of Bulgaria, the north-eastern region of the FYROM and, at least until recently, parts of southern Kosovo (Serbia); Goran: the border region of Kosovo, Albania and the FYROM; Janjev: south-eastern Kosovo (Serbia), from where most speakers have emigrated to Croatia; Krashovan: the region of Caraşova in Caraş-Severin County in the Romanian Banat",4046,0.2,1.3,2191,100,141,2.95,52784,2740,45,3.3,4.7,NA,NA,5,4,Europe
69,Torlak,torlak,torlak,Bulgaria,"bos, hrv, srp",Vulnerable,"Shop; dialects: Goran, Janjev, Krashovan",NA,1500000,42.9644,22.1374,"the core area: south-eastern Serbia, the westernmost parts of Bulgaria, the north-eastern region of the FYROM and, at least until recently, parts of southern Kosovo (Serbia); Goran: the border region of Kosovo, Albania and the FYROM; Janjev: south-eastern Kosovo (Serbia), from where most speakers have emigrated to Croatia; Krashovan: the region of Caraşova in Caraş-Severin County in the Romanian Banat",6783,0.6,6,6047,66,307,7.43,76287,10856,46.2,3.9,7.1,NA,NA,5,3.428571429,Europe
70,Torlak,torlak,torlak,The former Yugoslav Republic of Macedonia,"bos, hrv, srp",Vulnerable,"Shop; dialects: Goran, Janjev, Krashovan",NA,1500000,42.9644,22.1374,"the core area: south-eastern Serbia, the westernmost parts of Bulgaria, the north-eastern region of the FYROM and, at least until recently, parts of southern Kosovo (Serbia); Goran: the border region of Kosovo, Albania and the FYROM; Janjev: south-eastern Kosovo (Serbia), from where most speakers have emigrated to Croatia; Krashovan: the region of Caraşova in Caraş-Severin County in the Romanian Banat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.857142857,Unspecified
